timestamp,delta,gamma,vega,theta
2025-12-15 00:23:25+00:00,0.49890370547371865,-2.8117277310695503e-05,-12629.484437313982,22318.382788157247
2025-12-15 00:46:45+00:00,0.5034790190051279,-2.8269855034846033e-05,-12605.004840690317,22204.17376174414
2025-12-15 01:10:05+00:00,0.4982339574340946,-2.8703310103767063e-05,-12634.930227965127,21877.754676513614
2025-12-15 01:33:25+00:00,0.4891801853013864,-2.8771798207395247e-05,-12674.680331766021,21817.690420666477
2025-12-15 01:56:15+00:00,0.4772242189477368,-2.8540460422501443e-05,-12715.148452759355,21946.544645074075
2025-12-15 02:18:25+00:00,0.45833411282254244,-2.8452244610732394e-05,-12759.035422467192,21853.331479935736
2025-12-15 02:41:35+00:00,0.47136064497243446,-2.8734807083184304e-05,-12729.541166314379,21771.561260637616
2025-12-15 03:06:55+00:00,0.47760396102053493,-2.8899646997286234e-05,-12709.618855355571,21699.140396313007
2025-12-15 03:32:05+00:00,0.4775050735988391,-2.90391435079448e-05,-12708.45366072942,21602.471071562937
2025-12-15 03:58:10+00:00,0.4780841296072349,-2.8993524064166695e-05,-12703.803591360536,21648.45489527909
2025-12-15 04:25:05+00:00,0.47672966309698983,-2.9100232117512446e-05,-12706.21667471439,21569.494168399007
2025-12-15 04:50:45+00:00,0.46723586552422924,-2.8920885408822788e-05,-12728.576617954956,21638.94230012173
2025-12-15 05:15:35+00:00,0.4676171945988332,-2.9020895404964543e-05,-12725.782053969728,21575.818509306853
2025-12-15 05:44:55+00:00,0.47133251773640084,-2.899537185710321e-05,-12713.523147649092,21635.287265536044
2025-12-15 06:15:05+00:00,0.47241137031720115,-2.891208163568914e-05,-12707.234866031233,21715.78724816203
2025-12-15 06:47:15+00:00,0.46885282115725513,-2.918677855052598e-05,-12714.84950601514,21493.49137065822
2025-12-15 07:12:15+00:00,0.47166314979610235,-2.9232363307781077e-05,-12705.558154241488,21490.71318843032
2025-12-15 07:39:15+00:00,0.4699486836653112,-2.9102195713652746e-05,-12706.727558180119,21582.005031831646
2025-12-15 08:05:05+00:00,0.4657117328377752,-2.9166463524563416e-05,-12714.484698999555,21505.819956036554
2025-12-15 08:29:45+00:00,0.4619002672422535,-2.9067280157125324e-05,-12719.359184729921,21549.644455979407
2025-12-15 08:57:00+00:00,0.46314617053858154,-2.9102102757256395e-05,-12714.506147721022,21545.434000918576
2025-12-15 09:25:15+00:00,0.46005869178536285,-2.9205757706429744e-05,-12717.753559663997,21445.96201529528
2025-12-15 09:53:05+00:00,0.45908504956786933,-2.9149969545074123e-05,-12716.485036953463,21485.34651754176
2025-12-15 10:20:45+00:00,0.46571173283774925,-2.9166463524533926e-05,-12701.456706895957,21549.95998650276
2025-12-15 10:45:05+00:00,0.4624343715657152,-2.9155910850825826e-05,-12705.688875465965,21533.63951244434
2025-12-15 11:14:25+00:00,0.46331517770143793,-2.9089325549140443e-05,-12700.918578807194,21601.441889710106
2025-12-15 11:50:05+00:00,0.46770022451181237,-2.9144596009066842e-05,-12688.315737723748,21613.373050287006
2025-12-15 12:17:15+00:00,0.4696505644535909,-2.9125206758865437e-05,-12680.908726602413,21653.3522418071
2025-12-15 12:41:15+00:00,0.4660385596076865,-2.9011904606467276e-05,-12686.556560570743,21713.97239393006
2025-12-15 13:08:45+00:00,0.472389422668566,-2.9175730543962375e-05,-12669.094386274712,21654.403605970685
2025-12-15 13:33:20+00:00,0.4757223961218987,-2.9179585863576005e-05,-12657.249167479427,21683.234207535465
